temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -211.4(8)	 -211.6(8)	 -211.5(6)
20.00	 -137.6(5)	 -138.8(6)	 -138.2(4)
25.00	 -99.2(4)	 -99.5(4)	 -99.4(3)
30.00	 -74.3(3)	 -75.8(3)	 -75.1(2)
35.00	 -58.6(3)	 -58.6(3)	 -58.59(19)
40.00	 -47.0(2)	 -46.6(2)	 -46.83(17)
45.00	 -38.1(2)	 -37.5(2)	 -37.77(15)
50.00	 -30.61(19)	 -30.93(19)	 -30.79(13)
60.00	 -20.22(17)	 -20.55(17)	 -20.41(12)
75.00	 -10.47(14)	 -10.79(14)	 -10.68(11)
90.00	 -4.29(12)	 -4.56(12)	 -4.48(9)
100.00	 -1.32(12)	 -1.26(10)	 -1.27(8)
125.00	 4.31(10)	 3.89(10)	 3.95(9)
150.00	 7.62(8)	 7.38(9)	 7.40(8)
175.00	 9.72(8)	 9.63(8)	 9.63(8)
200.00	 11.30(7)	 11.28(7)	 11.28(7)
225.00	 12.63(7)	 12.47(7)	 12.47(7)
250.00	 --	 13.30(6)	 13.30(6)
273.16	 --	 13.83(6)	 13.83(6)
300.00	 --	 14.52(6)	 14.52(6)
350.00	 --	 15.38(5)	 15.38(5)
400.00	 --	 15.67(5)	 15.67(5)
450.00	 --	 16.05(5)	 16.05(5)
500.00	 --	 16.27(5)	 16.27(5)
550.00	 --	 16.32(5)	 16.32(5)
600.00	 --	 16.47(4)	 16.47(4)
700.00	 --	 16.42(4)	 16.42(4)
800.00	 --	 16.33(4)	 16.33(4)
900.00	 --	 16.18(4)	 16.18(4)
1000.00	 --	 15.95(4)	 15.95(4)
1200.00	 --	 15.62(3)	 15.62(3)
1500.00	 --	 15.06(3)	 15.06(3)
2000.00	 --	 14.21(3)	 14.21(3)
