temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -209.4(8)	 -208.7(8)	 -209.1(6)
20.00	 -137.5(5)	 -137.7(5)	 -137.6(4)
25.00	 -99.7(4)	 -99.7(4)	 -99.7(3)
30.00	 -76.0(3)	 -75.5(3)	 -75.8(2)
35.00	 -59.4(3)	 -59.6(3)	 -59.49(19)
40.00	 -47.1(2)	 -47.3(2)	 -47.21(16)
45.00	 -38.2(2)	 -38.3(2)	 -38.29(15)
50.00	 -31.53(19)	 -31.7(2)	 -31.60(14)
60.00	 -21.02(17)	 -21.27(16)	 -21.17(12)
75.00	 -11.17(14)	 -11.19(14)	 -11.18(10)
90.00	 -4.53(12)	 -4.74(12)	 -4.68(9)
100.00	 -1.44(11)	 -1.48(11)	 -1.47(9)
125.00	 3.90(9)	 3.76(10)	 3.78(8)
150.00	 7.30(9)	 7.09(9)	 7.11(8)
175.00	 9.60(8)	 9.50(8)	 9.50(8)
200.00	 11.28(7)	 11.18(7)	 11.19(7)
225.00	 12.56(7)	 12.35(7)	 12.35(7)
250.00	 --	 13.24(7)	 13.24(7)
273.16	 --	 13.86(6)	 13.86(6)
300.00	 --	 14.37(6)	 14.37(6)
350.00	 --	 15.27(6)	 15.27(6)
400.00	 --	 15.86(5)	 15.86(5)
450.00	 --	 16.12(5)	 16.12(5)
500.00	 --	 16.26(5)	 16.26(5)
550.00	 --	 16.39(5)	 16.39(5)
600.00	 --	 16.40(5)	 16.40(5)
700.00	 --	 16.47(4)	 16.47(4)
800.00	 --	 16.24(4)	 16.24(4)
900.00	 --	 16.15(4)	 16.15(4)
1000.00	 --	 16.04(4)	 16.04(4)
1200.00	 --	 15.57(4)	 15.57(4)
1500.00	 --	 15.05(3)	 15.05(3)
2000.00	 --	 0.0(0)	 14.19(3)
