temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -224.0(9)	 -224.8(9)	 -224.4(6)
20.00	 -144.8(5)	 -143.9(6)	 -144.4(4)
25.00	 -102.4(4)	 -102.3(4)	 -102.4(3)
30.00	 -76.8(3)	 -77.2(3)	 -77.0(2)
35.00	 -59.9(3)	 -59.6(3)	 -59.71(19)
40.00	 -46.9(2)	 -47.8(2)	 -47.35(17)
45.00	 -37.7(2)	 -38.2(2)	 -37.97(15)
50.00	 -30.89(19)	 -31.22(19)	 -31.08(14)
60.00	 -20.59(18)	 -20.74(16)	 -20.68(12)
75.00	 -10.72(14)	 -10.68(13)	 -10.69(10)
90.00	 -4.01(12)	 -4.32(11)	 -4.24(9)
100.00	 -1.03(11)	 -1.12(11)	 -1.10(9)
125.00	 4.17(9)	 3.98(10)	 4.01(8)
150.00	 7.51(8)	 7.29(9)	 7.30(8)
175.00	 9.83(8)	 9.69(8)	 9.70(7)
200.00	 11.60(7)	 11.20(7)	 11.21(7)
225.00	 12.60(7)	 12.54(7)	 12.54(7)
250.00	 --	 13.41(6)	 13.41(6)
273.16	 --	 14.03(6)	 14.03(6)
300.00	 --	 14.54(6)	 14.54(6)
350.00	 --	 15.26(5)	 15.26(5)
400.00	 --	 15.75(5)	 15.75(5)
450.00	 --	 16.06(5)	 16.06(5)
500.00	 --	 16.30(5)	 16.30(5)
550.00	 --	 16.30(5)	 16.30(5)
600.00	 --	 16.38(4)	 16.38(4)
700.00	 --	 16.38(4)	 16.38(4)
800.00	 --	 16.30(4)	 16.30(4)
900.00	 --	 16.15(4)	 16.15(4)
1000.00	 --	 15.97(4)	 15.97(4)
1200.00	 --	 15.60(3)	 15.60(3)
1500.00	 --	 15.02(3)	 15.02(3)
2000.00	 --	 14.19(3)	 14.19(3)
