temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -241.4(8)	 -243.2(9)	 -241.9(5)
16.00	 -219.7(8)	 -218.8(8)	 -219.3(5)
18.00	 -182.8(6)	 -182.6(6)	 -182.7(4)
20.00	 -156.2(5)	 -156.7(5)	 -156.3(3)
22.00	 -134.2(5)	 -134.5(4)	 -134.3(3)
24.00	 -118.0(4)	 -117.9(4)	 -117.9(3)
25.00	 -110.5(4)	 -111.0(4)	 -110.6(2)
26.00	 -104.6(4)	 -103.6(4)	 -104.1(3)
27.00	 -98.0(3)	 -98.0(4)	 -98.0(2)
28.00	 -92.5(3)	 -92.8(3)	 -92.6(2)
29.00	 -87.9(3)	 -87.6(3)	 -87.7(2)
30.00	 -83.2(3)	 -82.4(3)	 -82.99(18)
31.00	 -79.1(3)	 -79.4(3)	 -79.2(2)
32.00	 -75.3(3)	 -74.8(3)	 -75.06(19)
33.00	 -71.3(3)	 -71.1(3)	 -71.21(19)
34.00	 -68.3(3)	 -68.0(3)	 -68.18(19)
35.00	 -64.9(3)	 -64.6(3)	 -64.83(16)
36.00	 -61.8(2)	 -62.2(3)	 -61.96(18)
37.00	 -59.2(2)	 -58.8(2)	 -58.96(17)
38.00	 -57.0(2)	 -56.9(2)	 -56.97(17)
39.00	 -53.7(2)	 -53.8(2)	 -53.76(16)
40.00	 -51.5(2)	 -51.8(2)	 -51.59(13)
42.00	 -47.3(2)	 -47.3(2)	 -47.29(15)
44.00	 -43.4(2)	 -43.4(2)	 -43.39(14)
45.00	 -41.7(2)	 -41.8(2)	 -41.70(12)
46.00	 -40.38(19)	 -40.08(19)	 -40.21(13)
48.00	 -36.67(18)	 -36.94(19)	 -36.82(13)
50.00	 -33.86(18)	 -33.85(18)	 -33.86(11)
55.00	 -27.79(17)	 -27.90(17)	 -27.85(12)
60.00	 -22.99(16)	 -23.01(16)	 -23.00(9)
65.00	 -18.45(14)	 -18.68(14)	 -18.59(10)
70.00	 -15.36(13)	 -15.17(13)	 -15.23(10)
75.00	 -12.34(13)	 -12.37(13)	 -12.35(8)
80.00	 -9.62(12)	 -9.81(12)	 -9.75(9)
85.00	 -7.41(12)	 -7.54(11)	 -7.50(9)
90.00	 -5.55(11)	 -5.52(11)	 -5.53(7)
95.00	 -3.83(11)	 -3.79(11)	 -3.80(9)
98.15	 -2.76(11)	 -2.66(11)	 -2.69(8)
100.00	 -2.28(10)	 -2.27(10)	 -2.27(7)
103.15	 -1.34(10)	 -1.54(10)	 -1.50(8)
113.15	 1.24(9)	 1.18(9)	 1.20(7)
123.15	 2.91(9)	 3.06(9)	 3.04(8)
125.00	 3.46(9)	 3.44(8)	 3.45(6)
138.15	 5.53(8)	 5.43(8)	 5.44(7)
150.00	 6.93(8)	 6.72(8)	 6.75(7)
153.15	 7.37(8)	 7.32(8)	 7.32(7)
173.15	 9.19(7)	 9.18(7)	 9.18(7)
175.00	 9.30(7)	 9.31(7)	 9.31(7)
198.15	 11.01(7)	 10.96(6)	 10.96(6)
200.00	 10.99(6)	 11.13(6)	 11.13(6)
223.15	 12.31(6)	 12.11(6)	 12.11(6)
225.00	 12.21(6)	 12.34(6)	 12.33(6)
248.15	 --	 13.25(6)	 13.25(6)
250.00	 --	 13.20(6)	 13.20(6)
273.15	 --	 13.78(5)	 13.78(5)
273.16	 --	 13.90(6)	 13.90(6)
298.15	 --	 14.39(5)	 14.39(5)
300.00	 --	 14.45(6)	 14.45(6)
323.15	 --	 14.83(5)	 14.83(5)
348.15	 --	 15.20(5)	 15.20(5)
350.00	 --	 15.19(5)	 15.19(5)
373.15	 --	 15.57(5)	 15.57(5)
398.15	 --	 15.63(5)	 15.63(5)
400.00	 --	 15.66(5)	 15.66(5)
423.15	 --	 15.90(5)	 15.90(5)
450.00	 --	 15.94(5)	 15.94(5)
500.00	 --	 16.22(4)	 16.22(4)
550.00	 --	 16.28(4)	 16.28(4)
600.00	 --	 16.33(4)	 16.33(4)
700.00	 --	 16.32(4)	 16.32(4)
800.00	 --	 16.34(3)	 16.34(3)
900.00	 --	 16.06(3)	 16.06(3)
1000.00	 --	 15.86(3)	 15.86(3)
1200.00	 --	 15.56(3)	 15.56(3)
1500.00	 --	 14.95(3)	 14.95(3)
2000.00	 --	 14.12(3)	 14.12(3)
