temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -229.2(8)	 -228.8(8)	 -229.1(5)
16.00	 -207.3(7)	 -208.4(7)	 -207.9(5)
18.00	 -173.9(6)	 -174.3(6)	 -174.1(4)
20.00	 -150.2(5)	 -150.1(5)	 -150.2(3)
22.00	 -130.3(5)	 -130.6(5)	 -130.5(3)
24.00	 -114.0(4)	 -114.6(4)	 -114.3(3)
25.00	 -107.0(4)	 -107.7(4)	 -107.2(2)
26.00	 -101.1(3)	 -102.0(4)	 -101.5(2)
27.00	 -95.8(3)	 -94.9(3)	 -95.4(2)
28.00	 -90.3(3)	 -90.4(3)	 -90.3(2)
29.00	 -86.0(3)	 -85.2(3)	 -85.6(2)
30.00	 -81.5(3)	 -81.2(3)	 -81.38(18)
31.00	 -76.9(3)	 -77.3(3)	 -77.1(2)
32.00	 -73.5(3)	 -73.4(3)	 -73.5(2)
33.00	 -69.4(3)	 -69.7(3)	 -69.56(19)
34.00	 -66.7(3)	 -66.7(3)	 -66.70(18)
35.00	 -63.5(2)	 -63.7(2)	 -63.56(15)
36.00	 -60.5(2)	 -60.8(2)	 -60.65(17)
37.00	 -58.1(2)	 -57.5(2)	 -57.77(16)
38.00	 -55.6(2)	 -55.4(2)	 -55.46(16)
39.00	 -52.9(2)	 -53.0(2)	 -52.97(16)
40.00	 -50.7(2)	 -50.7(2)	 -50.71(13)
42.00	 -46.6(2)	 -46.4(2)	 -46.51(15)
44.00	 -42.8(2)	 -42.9(2)	 -42.84(15)
45.00	 -40.9(2)	 -41.32(19)	 -41.03(12)
46.00	 -39.33(19)	 -39.20(18)	 -39.26(13)
48.00	 -36.03(18)	 -36.13(19)	 -36.09(13)
50.00	 -33.75(18)	 -33.46(18)	 -33.66(11)
55.00	 -27.62(16)	 -27.68(16)	 -27.65(12)
60.00	 -22.87(15)	 -22.54(15)	 -22.75(9)
65.00	 -18.60(14)	 -18.57(14)	 -18.58(10)
70.00	 -15.32(14)	 -14.92(13)	 -15.07(10)
75.00	 -11.99(13)	 -12.25(13)	 -12.10(8)
80.00	 -9.36(12)	 -9.49(12)	 -9.45(9)
85.00	 -7.24(11)	 -7.42(11)	 -7.37(8)
90.00	 -5.45(11)	 -5.44(11)	 -5.45(7)
95.00	 -3.73(11)	 -3.64(11)	 -3.66(9)
98.15	 -2.75(11)	 -2.67(10)	 -2.69(8)
100.00	 -2.14(10)	 -2.05(10)	 -2.09(7)
103.15	 -1.19(10)	 -1.39(10)	 -1.34(8)
113.15	 1.02(10)	 1.00(9)	 1.01(8)
123.15	 3.07(9)	 3.18(9)	 3.16(8)
125.00	 3.55(8)	 3.31(9)	 3.37(7)
138.15	 5.71(8)	 5.59(8)	 5.60(7)
150.00	 6.92(8)	 6.95(8)	 6.94(7)
153.15	 7.25(8)	 7.40(7)	 7.38(7)
173.15	 9.25(7)	 9.16(7)	 9.16(7)
175.00	 9.41(7)	 9.31(7)	 9.32(7)
198.15	 10.90(7)	 10.84(7)	 10.84(7)
200.00	 11.15(7)	 11.02(7)	 11.03(6)
223.15	 12.12(6)	 12.23(6)	 12.22(6)
225.00	 12.20(6)	 12.25(6)	 12.25(6)
248.15	 --	 13.10(6)	 13.10(6)
250.00	 --	 13.21(6)	 13.21(6)
273.15	 --	 13.97(5)	 13.97(5)
273.16	 --	 13.83(6)	 13.83(6)
298.15	 --	 14.44(5)	 14.44(5)
300.00	 --	 14.37(5)	 14.37(5)
323.15	 --	 14.88(5)	 14.88(5)
348.15	 --	 15.17(5)	 15.17(5)
350.00	 --	 15.20(5)	 15.20(5)
373.15	 --	 15.40(5)	 15.40(5)
398.15	 --	 15.66(5)	 15.66(5)
400.00	 --	 15.68(5)	 15.68(5)
423.15	 --	 15.82(5)	 15.82(5)
450.00	 --	 16.03(4)	 16.03(4)
500.00	 --	 16.15(4)	 16.15(4)
550.00	 --	 16.32(4)	 16.32(4)
600.00	 --	 16.42(4)	 16.42(4)
700.00	 --	 16.31(4)	 16.31(4)
800.00	 --	 16.27(3)	 16.27(3)
900.00	 --	 16.07(3)	 16.07(3)
1000.00	 --	 15.95(3)	 15.95(3)
1200.00	 --	 15.49(3)	 15.49(3)
1500.00	 --	 15.00(3)	 15.00(3)
2000.00	 --	 14.11(2)	 14.11(2)
