temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -221.3(7)	 -222.2(8)	 -221.5(5)
16.00	 -202.7(7)	 -202.8(7)	 -202.8(5)
18.00	 -172.0(6)	 -171.6(6)	 -171.8(4)
20.00	 -146.5(5)	 -147.1(5)	 -146.6(3)
22.00	 -128.1(4)	 -128.3(4)	 -128.2(3)
24.00	 -112.5(4)	 -112.8(4)	 -112.6(3)
25.00	 -105.8(4)	 -106.6(4)	 -106.0(2)
26.00	 -100.1(3)	 -100.4(3)	 -100.3(2)
27.00	 -94.6(3)	 -94.3(3)	 -94.5(2)
28.00	 -89.9(3)	 -89.3(3)	 -89.6(2)
29.00	 -85.3(3)	 -85.1(3)	 -85.2(2)
30.00	 -80.9(3)	 -80.7(3)	 -80.85(18)
31.00	 -77.0(3)	 -76.8(3)	 -76.9(2)
32.00	 -73.0(3)	 -73.0(3)	 -73.0(2)
33.00	 -69.5(3)	 -69.5(3)	 -69.50(19)
34.00	 -66.2(3)	 -66.0(3)	 -66.08(18)
35.00	 -63.2(2)	 -63.4(2)	 -63.26(14)
36.00	 -60.4(2)	 -60.2(2)	 -60.29(17)
37.00	 -57.6(2)	 -58.0(2)	 -57.78(17)
38.00	 -55.0(2)	 -55.3(2)	 -55.12(17)
39.00	 -52.4(2)	 -52.5(2)	 -52.50(16)
40.00	 -50.0(2)	 -50.4(2)	 -50.08(13)
42.00	 -46.0(2)	 -46.3(2)	 -46.12(15)
44.00	 -42.63(19)	 -42.51(19)	 -42.57(14)
45.00	 -40.6(2)	 -40.62(19)	 -40.61(12)
46.00	 -39.18(19)	 -39.5(2)	 -39.36(14)
48.00	 -36.27(18)	 -36.11(18)	 -36.18(13)
50.00	 -33.50(18)	 -33.59(18)	 -33.53(11)
55.00	 -27.02(16)	 -27.48(16)	 -27.29(12)
60.00	 -22.27(16)	 -22.24(15)	 -22.26(9)
65.00	 -18.52(14)	 -18.42(14)	 -18.46(10)
70.00	 -14.92(13)	 -14.96(14)	 -14.95(10)
75.00	 -12.11(12)	 -12.18(12)	 -12.15(7)
80.00	 -9.40(12)	 -9.27(12)	 -9.31(9)
85.00	 -7.02(11)	 -7.42(12)	 -7.31(9)
90.00	 -5.34(11)	 -5.51(11)	 -5.43(7)
95.00	 -3.64(11)	 -3.61(10)	 -3.62(8)
98.15	 -2.55(10)	 -2.75(10)	 -2.70(8)
100.00	 -2.27(10)	 -2.09(11)	 -2.16(7)
103.15	 -1.30(10)	 -1.26(10)	 -1.27(8)
113.15	 1.24(9)	 1.35(9)	 1.33(7)
123.15	 3.10(9)	 3.14(9)	 3.14(7)
125.00	 3.53(9)	 3.40(9)	 3.43(7)
138.15	 5.52(8)	 5.41(8)	 5.42(7)
150.00	 7.10(8)	 7.16(7)	 7.15(6)
153.15	 7.43(7)	 7.27(8)	 7.29(7)
173.15	 9.18(7)	 9.21(7)	 9.21(7)
175.00	 9.40(7)	 9.49(7)	 9.48(7)
198.15	 10.91(7)	 10.92(7)	 10.92(7)
200.00	 11.08(7)	 10.97(7)	 10.97(7)
223.15	 12.31(6)	 12.23(6)	 12.23(6)
225.00	 12.37(6)	 12.19(6)	 12.19(6)
248.15	 --	 13.09(6)	 13.09(6)
250.00	 --	 13.20(6)	 13.20(6)
273.15	 --	 13.89(5)	 13.89(5)
273.16	 --	 13.89(6)	 13.89(6)
298.15	 --	 14.48(5)	 14.48(5)
300.00	 --	 14.43(5)	 14.43(5)
323.15	 --	 14.89(5)	 14.89(5)
348.15	 --	 15.24(5)	 15.24(5)
350.00	 --	 15.25(5)	 15.25(5)
373.15	 --	 15.44(5)	 15.44(5)
398.15	 --	 15.74(5)	 15.74(5)
400.00	 --	 15.73(5)	 15.73(5)
423.15	 --	 15.92(5)	 15.92(5)
450.00	 --	 16.01(4)	 16.01(4)
500.00	 --	 16.19(4)	 16.19(4)
550.00	 --	 16.28(4)	 16.28(4)
600.00	 --	 16.40(4)	 16.40(4)
700.00	 --	 16.24(4)	 16.24(4)
800.00	 --	 16.29(3)	 16.29(3)
900.00	 --	 16.17(3)	 16.17(3)
1000.00	 --	 15.92(3)	 15.92(3)
1200.00	 --	 15.53(3)	 15.53(3)
1500.00	 --	 14.97(3)	 14.97(3)
2000.00	 --	 14.16(2)	 14.16(2)
