temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -225.2(8)	 -224.5(8)	 -224.8(6)
16.00	 -204.5(7)	 -203.0(7)	 -203.7(5)
18.00	 -172.2(6)	 -171.8(6)	 -172.0(4)
20.00	 -147.1(5)	 -147.3(5)	 -147.2(4)
22.00	 -127.9(4)	 -127.8(4)	 -127.9(3)
24.00	 -113.2(4)	 -113.0(4)	 -113.1(3)
25.00	 -106.6(4)	 -106.9(4)	 -106.7(3)
26.00	 -100.2(3)	 -100.9(3)	 -100.5(2)
27.00	 -95.1(3)	 -94.4(3)	 -94.8(2)
28.00	 -89.3(3)	 -90.0(3)	 -89.7(2)
29.00	 -85.2(3)	 -85.1(3)	 -85.1(2)
30.00	 -80.3(3)	 -80.6(3)	 -80.4(2)
31.00	 -76.7(3)	 -77.1(3)	 -76.9(2)
32.00	 -73.0(3)	 -72.7(3)	 -72.8(2)
33.00	 -69.9(3)	 -69.1(3)	 -69.52(19)
34.00	 -66.0(3)	 -66.4(3)	 -66.20(19)
35.00	 -63.2(2)	 -62.9(3)	 -63.01(18)
36.00	 -60.8(2)	 -60.2(3)	 -60.51(17)
37.00	 -57.7(2)	 -57.4(2)	 -57.53(16)
38.00	 -55.0(2)	 -55.2(2)	 -55.14(16)
39.00	 -52.3(2)	 -52.5(2)	 -52.40(16)
40.00	 -50.7(2)	 -50.6(2)	 -50.65(16)
42.00	 -46.6(2)	 -46.2(2)	 -46.37(15)
44.00	 -42.75(19)	 -42.48(19)	 -42.60(14)
45.00	 -40.9(2)	 -40.57(19)	 -40.72(14)
46.00	 -39.01(19)	 -39.15(19)	 -39.08(13)
48.00	 -35.98(19)	 -36.15(18)	 -36.07(13)
50.00	 -33.94(18)	 -33.62(18)	 -33.76(13)
55.00	 -27.08(16)	 -27.19(16)	 -27.15(12)
60.00	 -22.61(15)	 -22.43(15)	 -22.50(11)
65.00	 -18.21(14)	 -18.40(15)	 -18.33(10)
70.00	 -14.99(13)	 -14.74(13)	 -14.83(10)
75.00	 -11.92(13)	 -11.83(13)	 -11.86(10)
80.00	 -9.63(12)	 -9.65(12)	 -9.64(9)
85.00	 -7.12(11)	 -7.24(12)	 -7.20(9)
90.00	 -5.25(11)	 -5.45(11)	 -5.39(9)
95.00	 -3.71(10)	 -3.75(10)	 -3.74(8)
98.15	 -2.62(10)	 -2.45(10)	 -2.49(8)
100.00	 -2.01(10)	 -2.06(10)	 -2.05(8)
103.15	 -1.31(10)	 -1.43(10)	 -1.40(8)
113.15	 1.05(10)	 1.20(9)	 1.17(8)
123.15	 3.03(9)	 3.12(9)	 3.11(8)
125.00	 3.52(9)	 3.49(9)	 3.50(8)
138.15	 5.54(8)	 5.40(8)	 5.41(7)
150.00	 6.83(8)	 7.00(8)	 6.98(7)
153.15	 7.60(8)	 7.26(8)	 7.29(7)
173.15	 9.14(7)	 9.29(7)	 9.29(7)
175.00	 9.44(7)	 9.44(7)	 9.44(7)
198.15	 10.98(7)	 10.90(7)	 10.90(7)
200.00	 11.00(6)	 11.03(7)	 11.03(7)
223.15	 12.14(6)	 12.24(6)	 12.24(6)
225.00	 12.23(6)	 12.20(6)	 12.20(6)
248.15	 --	 13.11(6)	 13.11(6)
250.00	 --	 13.20(6)	 13.20(6)
273.15	 --	 13.87(6)	 13.87(6)
273.16	 --	 13.79(6)	 13.79(6)
298.15	 --	 14.40(6)	 14.40(6)
300.00	 --	 14.40(5)	 14.40(5)
323.15	 --	 14.82(5)	 14.82(5)
348.15	 --	 15.16(5)	 15.16(5)
350.00	 --	 15.21(5)	 15.21(5)
373.15	 --	 15.43(5)	 15.43(5)
398.15	 --	 15.65(5)	 15.65(5)
400.00	 --	 15.70(5)	 15.70(5)
423.15	 --	 15.92(4)	 15.92(4)
450.00	 --	 15.99(4)	 15.99(4)
500.00	 --	 16.26(4)	 16.26(4)
550.00	 --	 16.31(4)	 16.31(4)
600.00	 --	 16.37(4)	 16.37(4)
700.00	 --	 16.34(4)	 16.34(4)
800.00	 --	 16.25(3)	 16.25(3)
900.00	 --	 16.14(4)	 16.14(4)
1000.00	 --	 15.98(3)	 15.98(3)
1200.00	 --	 15.59(3)	 15.59(3)
1500.00	 --	 15.02(3)	 15.02(3)
2000.00	 --	 14.23(3)	 14.23(3)
