temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -224.0(8)	 -224.1(8)	 -224.0(5)
16.00	 -203.7(7)	 -204.2(7)	 -203.9(5)
18.00	 -172.0(6)	 -172.5(6)	 -172.3(4)
20.00	 -147.9(5)	 -148.3(5)	 -148.0(3)
22.00	 -129.0(4)	 -128.1(4)	 -128.5(3)
24.00	 -113.2(4)	 -113.1(4)	 -113.2(3)
25.00	 -106.6(4)	 -106.7(4)	 -106.7(2)
26.00	 -100.4(3)	 -100.3(3)	 -100.3(2)
27.00	 -95.3(3)	 -94.8(3)	 -95.1(2)
28.00	 -90.1(3)	 -89.5(3)	 -89.8(2)
29.00	 -85.3(3)	 -85.6(3)	 -85.5(2)
30.00	 -80.9(3)	 -81.3(3)	 -80.96(18)
31.00	 -76.7(3)	 -76.6(3)	 -76.6(2)
32.00	 -72.8(3)	 -73.3(3)	 -73.04(19)
33.00	 -69.6(3)	 -69.7(3)	 -69.65(19)
34.00	 -66.0(3)	 -66.3(3)	 -66.13(19)
35.00	 -63.6(2)	 -63.0(3)	 -63.44(15)
36.00	 -60.2(2)	 -59.8(2)	 -59.98(17)
37.00	 -57.4(2)	 -57.5(2)	 -57.48(17)
38.00	 -54.8(2)	 -55.0(2)	 -54.92(16)
39.00	 -53.0(2)	 -52.3(2)	 -52.62(16)
40.00	 -50.4(2)	 -50.4(2)	 -50.38(13)
42.00	 -46.4(2)	 -46.4(2)	 -46.45(15)
44.00	 -42.5(2)	 -42.7(2)	 -42.58(14)
45.00	 -40.91(19)	 -40.9(2)	 -40.91(11)
46.00	 -39.15(19)	 -39.4(2)	 -39.30(14)
48.00	 -36.26(19)	 -36.22(19)	 -36.24(13)
50.00	 -33.25(18)	 -33.55(17)	 -33.34(10)
55.00	 -27.30(16)	 -27.16(16)	 -27.22(12)
60.00	 -22.46(16)	 -22.56(15)	 -22.50(9)
65.00	 -18.51(15)	 -18.37(14)	 -18.42(10)
70.00	 -14.75(13)	 -15.05(13)	 -14.94(10)
75.00	 -12.18(13)	 -11.94(13)	 -12.08(8)
80.00	 -9.64(13)	 -9.69(12)	 -9.68(9)
85.00	 -7.17(11)	 -7.22(11)	 -7.21(9)
90.00	 -5.37(11)	 -5.38(11)	 -5.38(7)
95.00	 -3.52(10)	 -3.63(10)	 -3.60(8)
98.15	 -2.70(11)	 -2.83(10)	 -2.80(8)
100.00	 -2.15(10)	 -2.11(10)	 -2.13(6)
103.15	 -1.27(10)	 -1.38(10)	 -1.35(8)
113.15	 1.20(9)	 1.13(9)	 1.15(8)
123.15	 3.21(9)	 3.12(9)	 3.13(8)
125.00	 3.38(9)	 3.52(9)	 3.48(7)
138.15	 5.45(8)	 5.51(8)	 5.50(7)
150.00	 6.97(8)	 7.03(7)	 7.02(6)
153.15	 7.40(8)	 7.40(7)	 7.40(7)
173.15	 9.11(7)	 9.20(7)	 9.19(7)
175.00	 9.43(7)	 9.28(7)	 9.29(6)
198.15	 10.98(7)	 11.02(7)	 11.02(6)
200.00	 11.12(7)	 10.97(7)	 10.97(6)
223.15	 12.19(6)	 12.23(6)	 12.23(6)
225.00	 12.23(6)	 12.26(6)	 12.26(6)
248.15	 --	 13.17(6)	 13.17(6)
250.00	 --	 13.18(6)	 13.18(6)
273.15	 --	 13.84(5)	 13.84(5)
273.16	 --	 13.79(6)	 13.79(6)
298.15	 --	 14.50(5)	 14.50(5)
300.00	 --	 14.50(5)	 14.50(5)
323.15	 --	 14.88(5)	 14.88(5)
348.15	 --	 15.24(5)	 15.24(5)
350.00	 --	 15.31(5)	 15.31(5)
373.15	 --	 15.50(5)	 15.50(5)
398.15	 --	 15.69(5)	 15.69(5)
400.00	 --	 15.68(5)	 15.68(5)
423.15	 --	 15.92(4)	 15.92(4)
450.00	 --	 15.98(4)	 15.98(4)
500.00	 --	 16.19(4)	 16.19(4)
550.00	 --	 16.32(4)	 16.32(4)
600.00	 --	 16.34(4)	 16.34(4)
700.00	 --	 16.35(4)	 16.35(4)
800.00	 --	 16.23(4)	 16.23(4)
900.00	 --	 16.15(3)	 16.15(3)
1000.00	 --	 15.97(3)	 15.97(3)
1200.00	 --	 15.58(3)	 15.58(3)
1500.00	 --	 15.02(3)	 15.02(3)
2000.00	 --	 14.12(3)	 14.12(3)
