temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -221.9(8)	 -222.6(8)	 -222.3(5)
16.00	 -202.7(7)	 -204.5(7)	 -203.6(5)
18.00	 -171.3(6)	 -170.7(6)	 -171.0(4)
20.00	 -147.0(5)	 -147.4(5)	 -147.2(3)
22.00	 -127.9(4)	 -127.8(4)	 -127.9(3)
24.00	 -113.0(4)	 -113.0(4)	 -113.0(3)
25.00	 -106.1(4)	 -106.1(4)	 -106.1(3)
26.00	 -100.6(4)	 -100.5(3)	 -100.5(2)
27.00	 -94.6(3)	 -94.2(3)	 -94.4(2)
28.00	 -89.7(3)	 -89.8(3)	 -89.7(2)
29.00	 -85.2(3)	 -84.7(3)	 -84.9(2)
30.00	 -80.6(3)	 -80.2(3)	 -80.4(2)
31.00	 -76.4(3)	 -76.3(3)	 -76.4(2)
32.00	 -72.9(3)	 -73.0(3)	 -73.0(2)
33.00	 -69.6(3)	 -69.3(3)	 -69.48(19)
34.00	 -66.2(3)	 -66.1(3)	 -66.16(18)
35.00	 -63.0(2)	 -63.2(2)	 -63.10(17)
36.00	 -60.0(2)	 -60.2(2)	 -60.09(17)
37.00	 -57.5(2)	 -57.5(2)	 -57.53(17)
38.00	 -55.1(2)	 -55.4(2)	 -55.23(16)
39.00	 -52.9(2)	 -52.5(2)	 -52.71(16)
40.00	 -50.4(2)	 -50.4(2)	 -50.42(15)
42.00	 -46.2(2)	 -46.3(2)	 -46.25(15)
44.00	 -42.4(2)	 -42.50(19)	 -42.45(14)
45.00	 -41.0(2)	 -40.75(19)	 -40.85(14)
46.00	 -39.06(19)	 -39.23(19)	 -39.15(14)
48.00	 -36.22(19)	 -36.06(19)	 -36.13(13)
50.00	 -33.18(18)	 -33.16(18)	 -33.17(13)
55.00	 -27.38(16)	 -27.29(17)	 -27.33(12)
60.00	 -22.31(15)	 -22.43(16)	 -22.38(11)
65.00	 -18.54(15)	 -18.17(14)	 -18.32(10)
70.00	 -15.03(13)	 -15.13(13)	 -15.10(10)
75.00	 -11.95(13)	 -11.96(13)	 -11.96(10)
80.00	 -9.35(12)	 -9.30(12)	 -9.31(9)
85.00	 -7.31(12)	 -7.15(11)	 -7.20(9)
90.00	 -5.17(11)	 -5.34(12)	 -5.29(9)
95.00	 -3.79(11)	 -3.72(11)	 -3.74(8)
98.15	 -2.55(10)	 -2.68(10)	 -2.65(8)
100.00	 -2.15(10)	 -2.14(10)	 -2.15(8)
103.15	 -1.32(10)	 -1.23(10)	 -1.25(8)
113.15	 1.11(9)	 1.30(9)	 1.26(8)
123.15	 3.33(9)	 2.99(9)	 3.04(8)
125.00	 3.63(9)	 3.44(9)	 3.47(8)
138.15	 5.49(8)	 5.40(8)	 5.41(7)
150.00	 7.04(8)	 6.95(8)	 6.96(7)
153.15	 7.28(8)	 7.28(8)	 7.28(7)
173.15	 9.19(8)	 9.19(7)	 9.19(7)
175.00	 9.29(7)	 9.36(7)	 9.36(7)
198.15	 11.00(7)	 11.00(7)	 11.00(6)
200.00	 11.01(7)	 11.05(7)	 11.05(6)
223.15	 12.13(7)	 12.18(6)	 12.18(6)
225.00	 12.34(6)	 12.26(6)	 12.26(6)
248.15	 --	 12.97(6)	 12.97(6)
250.00	 --	 13.17(6)	 13.17(6)
273.15	 --	 13.70(6)	 13.70(6)
273.16	 --	 13.80(5)	 13.80(5)
298.15	 --	 14.44(5)	 14.44(5)
300.00	 --	 14.48(5)	 14.48(5)
323.15	 --	 14.86(5)	 14.86(5)
348.15	 --	 15.20(5)	 15.20(5)
350.00	 --	 15.30(5)	 15.30(5)
373.15	 --	 15.52(5)	 15.52(5)
398.15	 --	 15.70(5)	 15.70(5)
400.00	 --	 15.71(5)	 15.71(5)
423.15	 --	 15.87(5)	 15.87(5)
450.00	 --	 15.96(5)	 15.96(5)
500.00	 --	 16.23(4)	 16.23(4)
550.00	 --	 16.32(4)	 16.32(4)
600.00	 --	 16.37(4)	 16.37(4)
700.00	 --	 16.34(4)	 16.34(4)
800.00	 --	 16.26(3)	 16.26(3)
900.00	 --	 16.13(3)	 16.13(3)
1000.00	 --	 16.01(3)	 16.01(3)
1200.00	 --	 15.61(3)	 15.61(3)
1500.00	 --	 15.05(3)	 15.05(3)
2000.00	 --	 14.22(3)	 14.22(3)
