temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -209.0(8)	 -208.8(8)	 -208.9(6)
20.00	 -138.6(5)	 -139.7(5)	 -139.2(4)
25.00	 -100.7(4)	 -101.3(4)	 -101.0(3)
30.00	 -77.2(3)	 -76.5(3)	 -76.9(2)
35.00	 -60.6(3)	 -60.7(3)	 -60.7(2)
40.00	 -49.1(2)	 -48.2(2)	 -48.62(17)
45.00	 -39.0(2)	 -39.2(2)	 -39.14(15)
50.00	 -31.82(19)	 -31.93(19)	 -31.88(14)
60.00	 -21.49(17)	 -21.80(17)	 -21.68(12)
75.00	 -11.50(14)	 -11.40(15)	 -11.43(11)
90.00	 -4.89(12)	 -5.19(13)	 -5.11(10)
100.00	 -1.73(11)	 -1.59(12)	 -1.62(9)
125.00	 3.91(9)	 3.82(9)	 3.83(8)
150.00	 7.25(9)	 7.09(8)	 7.11(8)
175.00	 9.54(8)	 9.48(8)	 9.49(8)
200.00	 11.35(7)	 11.11(8)	 11.11(7)
225.00	 12.53(7)	 12.40(7)	 12.40(7)
250.00	 --	 0.0(0)	 13.25(7)
273.16	 --	 0.0(0)	 13.90(6)
300.00	 --	 14.49(6)	 14.49(6)
350.00	 --	 15.33(6)	 15.33(6)
400.00	 --	 15.74(6)	 15.74(6)
450.00	 --	 16.04(5)	 16.04(5)
500.00	 --	 16.28(5)	 16.28(5)
550.00	 --	 16.34(5)	 16.34(5)
600.00	 --	 16.39(4)	 16.39(4)
700.00	 --	 16.42(4)	 16.42(4)
800.00	 --	 16.29(4)	 16.29(4)
900.00	 --	 16.17(4)	 16.17(4)
1000.00	 --	 15.93(4)	 15.93(4)
1200.00	 --	 15.62(3)	 15.62(3)
1500.00	 --	 15.02(3)	 15.02(3)
2000.00	 --	 14.16(3)	 14.16(3)
