temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -243.8(9)	 -240.9(9)	 -242.4(6)
16.00	 -219.3(8)	 -220.3(8)	 -219.8(5)
18.00	 -183.4(6)	 -183.2(6)	 -183.3(4)
20.00	 -155.7(5)	 -155.6(5)	 -155.7(4)
22.00	 -134.7(5)	 -134.8(4)	 -134.7(3)
24.00	 -117.4(4)	 -118.4(4)	 -117.9(3)
25.00	 -110.0(4)	 -110.8(4)	 -110.4(3)
26.00	 -103.8(4)	 -104.1(4)	 -103.9(3)
27.00	 -98.5(3)	 -98.2(3)	 -98.3(2)
28.00	 -92.8(3)	 -92.9(3)	 -92.8(2)
29.00	 -87.8(3)	 -87.6(3)	 -87.7(2)
30.00	 -83.4(3)	 -83.3(3)	 -83.4(2)
31.00	 -78.8(3)	 -78.3(3)	 -78.6(2)
32.00	 -74.7(3)	 -74.8(3)	 -74.79(19)
33.00	 -70.9(3)	 -71.1(3)	 -70.99(19)
34.00	 -68.0(3)	 -67.9(3)	 -67.96(19)
35.00	 -64.9(2)	 -64.7(2)	 -64.80(18)
36.00	 -61.5(2)	 -61.6(2)	 -61.54(17)
37.00	 -58.5(2)	 -58.9(2)	 -58.72(17)
38.00	 -56.6(2)	 -56.3(2)	 -56.44(16)
39.00	 -53.8(2)	 -54.0(2)	 -53.89(16)
40.00	 -51.7(2)	 -51.8(2)	 -51.77(16)
42.00	 -47.2(2)	 -47.3(2)	 -47.25(14)
44.00	 -43.4(2)	 -43.7(2)	 -43.55(14)
45.00	 -41.56(19)	 -41.69(19)	 -41.63(14)
46.00	 -40.2(2)	 -40.26(19)	 -40.25(14)
48.00	 -36.81(18)	 -36.8(2)	 -36.78(13)
50.00	 -33.99(18)	 -33.76(18)	 -33.86(13)
55.00	 -28.21(16)	 -28.03(17)	 -28.11(12)
60.00	 -22.94(15)	 -22.83(15)	 -22.87(11)
65.00	 -18.66(14)	 -18.66(14)	 -18.66(10)
70.00	 -15.15(14)	 -15.28(14)	 -15.23(10)
75.00	 -12.45(13)	 -12.23(12)	 -12.30(9)
80.00	 -9.60(13)	 -9.65(12)	 -9.63(9)
85.00	 -7.67(12)	 -7.39(12)	 -7.47(9)
90.00	 -5.63(11)	 -5.31(11)	 -5.40(9)
95.00	 -3.66(10)	 -3.90(11)	 -3.84(8)
98.15	 -2.91(10)	 -2.80(10)	 -2.82(8)
100.00	 -2.19(10)	 -2.22(10)	 -2.21(8)
103.15	 -1.29(10)	 -1.46(10)	 -1.42(8)
113.15	 0.94(9)	 0.82(9)	 0.84(8)
123.15	 3.20(9)	 3.01(9)	 3.04(8)
125.00	 3.57(8)	 3.35(9)	 3.38(7)
138.15	 5.35(8)	 5.35(8)	 5.35(7)
150.00	 6.90(8)	 6.94(7)	 6.94(7)
153.15	 7.45(7)	 7.22(8)	 7.24(7)
173.15	 9.14(7)	 9.10(7)	 9.10(7)
175.00	 9.36(7)	 9.36(7)	 9.36(7)
198.15	 10.97(7)	 10.77(7)	 10.77(7)
200.00	 11.03(7)	 11.00(6)	 11.00(6)
223.15	 12.05(6)	 12.07(6)	 12.07(6)
225.00	 12.20(7)	 12.19(6)	 12.19(6)
248.15	 --	 13.04(6)	 13.04(6)
250.00	 --	 13.23(6)	 13.23(6)
273.15	 --	 13.85(6)	 13.85(6)
273.16	 --	 13.87(6)	 13.87(6)
298.15	 --	 14.37(5)	 14.37(5)
300.00	 --	 14.33(5)	 14.33(5)
323.15	 --	 14.78(5)	 14.78(5)
348.15	 --	 15.17(5)	 15.17(5)
350.00	 --	 15.15(5)	 15.15(5)
373.15	 --	 15.40(5)	 15.40(5)
398.15	 --	 15.64(5)	 15.64(5)
400.00	 --	 15.73(5)	 15.73(5)
423.15	 --	 15.83(5)	 15.83(5)
450.00	 --	 16.05(4)	 16.05(4)
500.00	 --	 16.23(4)	 16.23(4)
550.00	 --	 16.27(4)	 16.27(4)
600.00	 --	 16.38(4)	 16.38(4)
700.00	 --	 16.31(4)	 16.31(4)
800.00	 --	 16.22(3)	 16.22(3)
900.00	 --	 16.11(3)	 16.11(3)
1000.00	 --	 15.93(3)	 15.93(3)
1200.00	 --	 15.60(3)	 15.60(3)
1500.00	 --	 15.05(3)	 15.05(3)
2000.00	 --	 14.23(2)	 14.23(2)
