temperature	 b2cb0	 b2cb1	 b2cb2	 b2cbtot
Temperature(\si{\kelvin})	 $\text{B}^{0}_2$(\si{cm^3/mol})	 $\text{B}^{1}_2$(\si{cm^3/mol})	 $\text{B}^{2}_2$(\si{cm^3/mol})	 $\text{B}_2$(\si{cm^3/mol})
90.00	 -234.7(5)	 -223.1(5)	 -207.3(5)	 -215.6(3)
100.00	 -191.9(4)	 -182.4(4)	 -170.0(4)	 -176.6(3)
140.00	 -101.7(3)	 -97.1(3)	 -89.9(3)	 -93.59(17)
170.00	 -69.5(2)	 -66.0(2)	 -60.3(2)	 -63.23(14)
210.00	 -43.90(17)	 -40.96(17)	 -37.21(17)	 -39.21(11)
220.00	 -39.47(17)	 -36.52(17)	 -32.41(17)	 -34.56(11)
250.00	 -27.97(15)	 -25.80(16)	 -22.19(16)	 -24.04(10)
310.00	 -13.42(13)	 -11.46(13)	 -8.75(13)	 -10.17(9)
380.00	 -2.92(12)	 -1.59(12)	 1.00(12)	 -0.30(8)
400.00	 -0.78(12)	 1.07(11)	 3.20(12)	 2.05(8)
406.00	 -0.42(12)	 1.16(12)	 3.73(12)	 2.41(8)
600.00	 12.03(11)	 13.35(10)	 15.31(10)	 14.29(7)
800.00	 17.84(10)	 18.81(9)	 20.63(9)	 19.72(6)
1000.00	 20.91(9)	 21.85(9)	 23.27(9)	 22.53(6)
1400.00	 23.78(8)	 24.45(9)	 25.72(9)	 25.08(6)
