temperature	 b2cb0	 b2cb1	 b2cb2	 b2cbtot
Temperature(\si{\kelvin})	 $\text{B}^{0}_2$(\si{cm^3/mol})	 $\text{B}^{1}_2$(\si{cm^3/mol})	 $\text{B}^{2}_2$(\si{cm^3/mol})	 $\text{B}_2$(\si{cm^3/mol})
90.00	 -234.8(5)	 -224.2(6)	 -208.3(4)	 -216.6(3)
100.00	 -191.9(4)	 -182.5(4)	 -170.5(4)	 -176.9(3)
140.00	 -102.1(3)	 -97.1(2)	 -89.8(3)	 -93.61(17)
170.00	 -69.7(2)	 -66.1(2)	 -60.5(2)	 -63.37(14)
210.00	 -44.18(18)	 -41.05(18)	 -37.05(17)	 -39.18(11)
220.00	 -39.36(17)	 -36.91(18)	 -32.58(17)	 -34.77(11)
250.00	 -28.5(2)	 -25.93(16)	 -22.40(15)	 -24.26(10)
310.00	 -13.66(14)	 -11.51(13)	 -8.68(13)	 -10.17(9)
380.00	 -2.99(12)	 -1.31(12)	 0.86(12)	 -0.29(8)
400.00	 -0.56(12)	 0.50(12)	 3.20(12)	 1.88(8)
406.00	 -0.16(12)	 1.41(11)	 3.58(12)	 2.44(8)
600.00	 12.11(10)	 13.32(10)	 15.10(10)	 14.18(7)
800.00	 17.94(10)	 18.99(9)	 20.44(10)	 19.68(6)
1000.00	 20.90(9)	 21.73(9)	 23.04(10)	 22.36(6)
1400.00	 23.87(8)	 24.42(8)	 25.59(9)	 25.01(6)
