temperature	 b2cb0	 b2cb1	 b2cb2	 b2cbtot
Temperature(\si{\kelvin})	 $\text{B}^{0}_2$(\si{cm^3/mol})	 $\text{B}^{1}_2$(\si{cm^3/mol})	 $\text{B}^{2}_2$(\si{cm^3/mol})	 $\text{B}_2$(\si{cm^3/mol})
90.00	 -259.0(6)	 -237.6(5)	 -209.4(5)	 -224.3(3)
100.00	 -211.0(5)	 -193.9(4)	 -171.4(4)	 -183.3(3)
140.00	 -111.5(3)	 -102.7(3)	 -90.3(3)	 -96.77(17)
170.00	 -76.2(2)	 -70.4(2)	 -61.0(2)	 -65.84(14)
210.00	 -49.09(18)	 -44.32(18)	 -37.79(18)	 -41.22(12)
220.00	 -44.34(18)	 -39.56(17)	 -33.35(17)	 -36.64(11)
250.00	 -32.13(15)	 -28.65(15)	 -23.03(16)	 -25.91(10)
310.00	 -16.59(14)	 -13.55(14)	 -8.94(13)	 -11.32(9)
380.00	 -5.34(13)	 -2.71(12)	 0.80(12)	 -1.05(8)
400.00	 -3.00(12)	 -0.91(19)	 2.87(12)	 0.96(9)
406.00	 -2.38(12)	 -0.22(12)	 3.54(11)	 1.63(8)
600.00	 10.64(10)	 12.36(11)	 15.24(10)	 13.77(7)
800.00	 16.67(9)	 17.82(9)	 20.59(9)	 19.23(6)
1000.00	 19.64(9)	 21.07(9)	 23.14(9)	 22.06(6)
1400.00	 22.84(9)	 24.00(9)	 25.60(9)	 24.76(6)
