temperature	 b2cb0	 b2cb1	 b2cb2	 b2cbtot
Temperature(\si{\kelvin})	 $\text{B}^{0}_2$(\si{cm^3/mol})	 $\text{B}^{1}_2$(\si{cm^3/mol})	 $\text{B}^{2}_2$(\si{cm^3/mol})	 $\text{B}_2$(\si{cm^3/mol})
90.00	 -234.4(5)	 -222.3(5)	 -208.2(5)	 -215.8(3)
100.00	 -191.7(4)	 -182.8(4)	 -170.4(5)	 -176.9(3)
140.00	 -101.7(3)	 -96.8(3)	 -90.1(3)	 -93.61(17)
170.00	 -69.7(2)	 -65.5(2)	 -60.8(2)	 -63.39(14)
210.00	 -44.73(19)	 -41.04(17)	 -36.76(18)	 -39.07(12)
220.00	 -39.38(17)	 -36.69(17)	 -33.11(17)	 -35.00(11)
250.00	 -28.50(15)	 -26.11(16)	 -22.49(16)	 -24.36(11)
310.00	 -13.57(14)	 -11.58(14)	 -8.62(14)	 -10.16(9)
380.00	 -3.11(12)	 -1.40(12)	 1.35(12)	 -0.06(8)
400.00	 -0.68(12)	 0.65(12)	 3.10(11)	 1.86(8)
406.00	 -0.34(12)	 1.19(12)	 3.78(11)	 2.46(8)
600.00	 12.23(10)	 13.32(10)	 15.20(10)	 14.24(7)
800.00	 17.94(10)	 18.91(9)	 20.49(10)	 19.68(6)
1000.00	 20.95(9)	 21.73(9)	 23.39(10)	 22.57(6)
1400.00	 23.67(8)	 24.43(8)	 25.73(8)	 25.07(5)
