temperature	 b2cb0	 b2cb1	 b2cb2	 b2cbtot
Temperature(\si{\kelvin})	 $\text{B}^{0}_2$(\si{cm^3/mol})	 $\text{B}^{1}_2$(\si{cm^3/mol})	 $\text{B}^{2}_2$(\si{cm^3/mol})	 $\text{B}_2$(\si{cm^3/mol})
90.00	 -258.3(6)	 -236.2(7)	 -208.9(5)	 -223.5(4)
100.00	 -210.6(4)	 -193.8(4)	 -171.5(4)	 -183.3(3)
140.00	 -111.3(3)	 -102.4(3)	 -90.5(3)	 -96.80(17)
170.00	 -76.5(2)	 -70.4(2)	 -61.1(2)	 -65.94(13)
210.00	 -49.11(18)	 -44.39(18)	 -37.63(18)	 -41.16(12)
220.00	 -44.15(18)	 -39.9(2)	 -33.03(16)	 -36.55(11)
250.00	 -32.02(16)	 -28.74(16)	 -22.83(15)	 -25.82(10)
310.00	 -16.51(14)	 -13.80(13)	 -8.92(14)	 -11.39(9)
380.00	 -5.43(12)	 -3.07(12)	 0.66(12)	 -1.26(8)
400.00	 -3.12(12)	 -0.82(12)	 2.66(12)	 0.86(8)
406.00	 -2.48(12)	 -0.28(12)	 3.65(11)	 1.66(8)
600.00	 10.75(10)	 12.17(10)	 15.16(10)	 13.67(7)
800.00	 16.68(10)	 18.03(10)	 20.51(10)	 19.26(6)
1000.00	 19.70(9)	 21.01(9)	 23.07(9)	 22.01(6)
1400.00	 22.72(8)	 23.77(9)	 25.66(9)	 24.70(6)
