temperature	 b2cb0	 b2cb1	 b2cb2	 b2cbtot
Temperature(\si{\kelvin})	 $\text{B}^{0}_2$(\si{cm^3/mol})	 $\text{B}^{1}_2$(\si{cm^3/mol})	 $\text{B}^{2}_2$(\si{cm^3/mol})	 $\text{B}_2$(\si{cm^3/mol})
90.00	 -258.3(6)	 -236.5(5)	 -209.1(5)	 -223.7(3)
100.00	 -210.4(5)	 -193.4(4)	 -171.3(4)	 -183.0(3)
140.00	 -111.3(3)	 -102.7(3)	 -90.2(2)	 -96.73(17)
170.00	 -76.3(2)	 -70.1(2)	 -61.1(2)	 -65.77(14)
210.00	 -49.20(18)	 -44.03(17)	 -37.54(18)	 -41.00(12)
220.00	 -44.06(17)	 -39.72(17)	 -33.35(17)	 -36.66(11)
250.00	 -32.18(16)	 -28.71(16)	 -22.83(16)	 -25.83(11)
310.00	 -16.59(14)	 -13.82(14)	 -9.06(13)	 -11.49(9)
380.00	 -5.47(12)	 -3.02(12)	 0.59(12)	 -1.29(8)
400.00	 -3.00(12)	 -0.79(12)	 2.81(12)	 0.97(8)
406.00	 -2.46(12)	 -0.07(12)	 3.46(12)	 1.63(8)
600.00	 10.71(10)	 12.31(10)	 14.85(10)	 13.55(7)
800.00	 16.65(9)	 17.98(10)	 20.46(10)	 19.21(6)
1000.00	 19.70(9)	 21.13(9)	 22.98(9)	 22.00(6)
1400.00	 22.88(9)	 24.06(8)	 25.62(8)	 24.80(6)
