temperature	 b3scb8a	 b3scb8na	 b3scb8tot
Temperature(\si{\kelvin})	 B$^\text{A}_3$(\si{cm^6/mol^2})	 B$^\text{NA}_3$(\si{cm^6/mol^2})	 B$^\text{Tot}_3$(\si{cm^6/mol^2})
50.00	 -3.713(15)$\times10^5$	 4.12(4)$\times10^4$	 -3.301(15)$\times10^5$
55.00	 -1.759(8)$\times10^5$	 2.30(2)$\times10^4$	 -1.529(8)$\times10^5$
60.00	 -9.02(4)$\times10^4$	 1.388(12)$\times10^4$	 -7.63(4)$\times10^4$
65.00	 -4.79(2)$\times10^4$	 9.21(8)$\times10^3$	 -3.87(2)$\times10^4$
70.00	 -2.628(14)$\times10^4$	 6.56(6)$\times10^3$	 -1.972(15)$\times10^4$
75.00	 -1.437(9)$\times10^4$	 4.81(5)$\times10^3$	 -9.56(10)$\times10^3$
80.00	 -7.67(6)$\times10^3$	 3.71(4)$\times10^3$	 -3.96(7)$\times10^3$
85.00	 -3.69(4)$\times10^3$	 2.94(3)$\times10^3$	 -7.5(5)$\times10^2$
90.00	 -1.26(3)$\times10^3$	 2.42(2)$\times10^3$	 1.16(4)$\times10^3$
95.00	 2.3(2)$\times10^2$	 2.00(2)$\times10^3$	 2.23(3)$\times10^3$
100.00	 1.101(18)$\times10^3$	 1.714(18)$\times10^3$	 2.81(3)$\times10^3$
110.00	 1.938(12)$\times10^3$	 1.269(13)$\times10^3$	 3.208(18)$\times10^3$
120.00	 2194(9)	 1.005(11)$\times10^3$	 3.199(14)$\times10^3$
130.00	 2211(7)	 813(9)	 3.025(11)$\times10^3$
140.00	 2129(5)	 683(7)	 2811(9)
150.00	 2019(5)	 584(7)	 2603(8)
160.00	 1905(4)	 515(6)	 2421(7)
170.00	 1792(3)	 454(5)	 2246(6)
180.00	 1695(3)	 398(5)	 2093(6)
190.00	 1616(3)	 364(4)	 1980(5)
200.00	 1537(2)	 339(4)	 1876(5)
210.00	 1477(2)	 307(4)	 1784(4)
220.00	 1431(2)	 286(3)	 1717(4)
230.00	 1382(2)	 265(3)	 1648(4)
240.00	 1340.6(19)	 249(3)	 1589(4)
250.00	 1308.0(19)	 230(3)	 1538(3)
260.00	 1278.2(17)	 219(3)	 1497(3)
270.00	 1253.0(17)	 204(2)	 1457(3)
280.00	 1231.7(16)	 199(2)	 1430(3)
290.00	 1209.7(15)	 185(2)	 1395(3)
300.00	 1197.0(15)	 180(2)	 1377(3)
310.00	 1181.3(15)	 167(2)	 1349(2)
320.00	 1168.8(15)	 161.7(19)	 1330(2)
330.00	 1157.4(14)	 158.0(19)	 1315(2)
340.00	 1149.1(15)	 148.9(18)	 1298(2)
350.00	 1141.3(14)	 145.6(17)	 1287(2)
360.00	 1134.2(14)	 138.8(17)	 1273(2)
370.00	 1127.0(13)	 132.7(16)	 1260(2)
380.00	 1121.3(13)	 128.1(15)	 1249(2)
390.00	 1115.6(13)	 127.2(15)	 1243(2)
400.00	 1109.4(13)	 121.4(15)	 1231(2)
410.00	 1105.4(13)	 116.9(14)	 1222.3(19)
420.00	 1103.2(13)	 115.2(14)	 1218.4(19)
430.00	 1098.3(13)	 111.4(14)	 1209.6(19)
440.00	 1096.3(13)	 108.3(13)	 1204.6(18)
450.00	 1092.2(13)	 106.6(12)	 1198.8(18)
460.00	 1090.7(13)	 104.3(12)	 1195.0(18)
470.00	 1084.9(12)	 99.7(11)	 1184.5(17)
480.00	 1084.0(13)	 98.2(12)	 1182.2(17)
490.00	 1081.0(12)	 96.1(12)	 1177.1(17)
500.00	 1081.2(12)	 92.2(11)	 1173.4(17)
520.00	 1078.5(12)	 88.5(11)	 1167.0(16)
540.00	 1070.9(12)	 85.0(10)	 1155.9(15)
560.00	 1067.9(12)	 83.1(9)	 1151.1(15)
580.00	 1067.9(11)	 78.0(9)	 1145.9(14)
600.00	 1064.3(12)	 76.7(9)	 1141.0(15)
620.00	 1059.6(12)	 72.6(8)	 1132.2(15)
640.00	 1054.5(11)	 70.1(9)	 1124.6(14)
660.00	 1052.0(12)	 68.1(8)	 1120.1(14)
680.00	 1050.8(12)	 66.0(8)	 1116.7(14)
700.00	 1047.1(12)	 64.0(7)	 1111.1(14)
720.00	 1045.8(12)	 62.3(7)	 1108.1(14)
740.00	 1041.5(11)	 61.3(7)	 1102.8(13)
760.00	 1037.3(12)	 59.6(7)	 1096.8(13)
780.00	 1033.0(11)	 57.5(7)	 1090.4(13)
800.00	 1033.4(12)	 55.1(6)	 1088.6(13)
820.00	 1029.6(11)	 55.3(6)	 1084.9(13)
840.00	 1026.0(11)	 54.5(6)	 1080.5(13)
860.00	 1021.5(11)	 52.4(6)	 1073.9(12)
880.00	 1017.8(11)	 50.2(6)	 1068.0(12)
900.00	 1017.2(12)	 49.9(5)	 1067.1(13)
920.00	 1011.0(11)	 48.4(5)	 1059.3(12)
940.00	 1010.0(11)	 48.2(5)	 1058.1(12)
960.00	 1008.0(11)	 46.5(5)	 1054.5(12)
980.00	 1003.2(11)	 45.4(5)	 1048.6(12)
1000.00	 1000.2(11)	 45.1(5)	 1045.3(12)
1050.00	 992.4(11)	 43.0(5)	 1035.4(12)
1100.00	 986.1(11)	 40.6(4)	 1026.7(12)
1150.00	 976.7(11)	 40.0(4)	 1016.7(11)
1200.00	 970.2(11)	 37.6(4)	 1007.8(11)
1250.00	 961.7(10)	 36.5(4)	 998.2(11)
1300.00	 953.2(11)	 35.5(4)	 988.7(11)
1350.00	 948.1(10)	 34.2(4)	 982.4(11)
1400.00	 937.4(10)	 33.1(3)	 970.5(11)
1450.00	 930.7(10)	 32.0(3)	 962.7(11)
1500.00	 922.5(10)	 30.5(3)	 953.1(11)
1600.00	 906.2(10)	 29.2(3)	 935.4(10)
1700.00	 895.0(10)	 27.5(3)	 922.5(10)
1800.00	 880.2(10)	 26.3(2)	 906.5(10)
1900.00	 867.6(10)	 25.1(2)	 892.7(10)
2000.00	 855.8(10)	 24.1(2)	 879.9(10)
2200.00	 830.8(9)	 22.5(2)	 853.3(9)
2400.00	 807.2(9)	 20.55(18)	 827.8(9)
2600.00	 788.1(8)	 19.57(16)	 807.7(9)
2800.00	 767.0(9)	 18.21(15)	 785.2(9)
3000.00	 748.5(8)	 17.03(15)	 765.5(8)
