temperature	 b2cb8	 b2cb16	 b2cb32	 b2cb64
Temperature(\si{\kelvin})	 $\text{B}^{8}_2$(\si{cm^3/mol})	 $\text{B}^{16}_2$(\si{cm^3/mol})	 $\text{B}^{32}_2$(\si{cm^3/mol})	 $\text{B}^{64}_2$(\si{cm^3/mol})
1250.00	 30.51(3)	 30.51(3)	 30.56(3)	 30.51(3)
1300.00	 30.69(3)	 30.78(3)	 30.73(3)	 30.72(3)
1350.00	 30.93(3)	 30.90(3)	 30.96(3)	 30.92(3)
1400.00	 31.10(3)	 31.07(3)	 31.15(3)	 31.06(3)
1450.00	 31.26(3)	 31.21(3)	 31.24(3)	 31.24(3)
1500.00	 31.33(3)	 31.40(3)	 31.33(3)	 31.32(3)
1600.00	 31.54(3)	 31.56(3)	 31.57(3)	 31.55(3)
1700.00	 31.72(3)	 31.69(3)	 31.69(3)	 31.69(3)
1800.00	 31.76(3)	 31.77(3)	 31.77(3)	 31.85(3)
1900.00	 31.85(2)	 31.87(3)	 31.84(3)	 31.90(3)
2000.00	 31.89(3)	 31.90(3)	 31.92(3)	 31.93(3)
2200.00	 31.88(3)	 31.87(2)	 31.91(2)	 31.94(3)
2400.00	 31.88(2)	 31.85(2)	 31.85(2)	 31.87(2)
2600.00	 31.76(2)	 31.77(2)	 31.72(2)	 31.76(2)
2800.00	 31.65(2)	 31.67(2)	 31.63(2)	 31.68(2)
3000.00	 31.50(2)	 31.51(2)	 31.51(2)	 31.52(2)
