temperature	 b3cb8a	 b3cb8na	 b3cb8tot
Temperature(\si{\kelvin})	 B$^\text{A}_3$(\si{cm^6/mol^2})	 B$^\text{NA}_3$(\si{cm^6/mol^2})	 B$^\text{Tot}_3$(\si{cm^6/mol^2})
50.00	 -3.702(16)$\times10^5$	 4.179(12)$\times10^4$	 -3.284(16)$\times10^5$
55.00	 -1.755(7)$\times10^5$	 2.295(7)$\times10^4$	 -1.525(7)$\times10^5$
60.00	 -9.02(4)$\times10^4$	 1.390(6)$\times10^4$	 -7.63(4)$\times10^4$
65.00	 -4.81(2)$\times10^4$	 9.28(3)$\times10^3$	 -3.88(2)$\times10^4$
70.00	 -2.620(14)$\times10^4$	 6.55(2)$\times10^3$	 -1.965(14)$\times10^4$
75.00	 -1.448(9)$\times10^4$	 4.848(16)$\times10^3$	 -9.63(9)$\times10^3$
80.00	 -7.67(6)$\times10^3$	 3.680(12)$\times10^3$	 -3.99(6)$\times10^3$
85.00	 -3.51(4)$\times10^3$	 2934(10)	 -5.8(4)$\times10^2$
90.00	 -1.26(3)$\times10^3$	 2387(8)	 1.12(3)$\times10^3$
95.00	 2.3(2)$\times10^2$	 1993(7)	 2.22(2)$\times10^3$
100.00	 1.110(19)$\times10^3$	 1691(6)	 2.80(2)$\times10^3$
110.00	 1.944(12)$\times10^3$	 1264(4)	 3.208(13)$\times10^3$
120.00	 2184(9)	 1002(4)	 3187(10)
130.00	 2197(7)	 815(3)	 3012(7)
140.00	 2133(6)	 687(3)	 2820(6)
150.00	 2014(5)	 585(2)	 2599(5)
160.00	 1898(4)	 514(2)	 2412(4)
170.00	 1794(3)	 453.8(17)	 2248(4)
180.00	 1696(3)	 404.9(16)	 2101(3)
190.00	 1613(3)	 367.3(14)	 1981(3)
200.00	 1538(2)	 334.5(13)	 1872(3)
210.00	 1481(2)	 308.8(12)	 1789(3)
220.00	 1429(2)	 284.4(11)	 1714(2)
230.00	 1382(2)	 265.5(10)	 1648(2)
240.00	 1341.9(19)	 245.2(10)	 1587(2)
250.00	 1304.9(19)	 232.7(9)	 1538(2)
260.00	 1273.8(17)	 219.2(8)	 1493.0(19)
270.00	 1253.0(17)	 206.6(8)	 1459.6(19)
280.00	 1231.6(16)	 195.6(8)	 1427.2(18)
290.00	 1213.4(16)	 187.0(7)	 1400.5(17)
300.00	 1195.6(15)	 178.5(8)	 1374.1(17)
310.00	 1182.0(15)	 170.0(6)	 1351.9(16)
320.00	 1170.8(15)	 162.1(6)	 1332.9(16)
330.00	 1157.0(14)	 155.4(6)	 1312.4(15)
340.00	 1152.4(15)	 150.0(6)	 1302.4(16)
350.00	 1140.3(14)	 144.7(6)	 1285.0(15)
360.00	 1133.1(14)	 138.7(5)	 1271.9(15)
370.00	 1126.0(13)	 134.0(5)	 1260.0(14)
380.00	 1119.5(13)	 129.3(5)	 1248.8(14)
