temperature	 b3cb8a	 b3cb8na	 b3cb8tot
Temperature(\si{\kelvin})	 B$^\text{A}_3$(\si{cm^6/mol^2})	 B$^\text{NA}_3$(\si{cm^6/mol^2})	 B$^\text{Tot}_3$(\si{cm^6/mol^2})
50.00	 -3.713(15)$\times10^5$	 4.191(12)$\times10^4$	 -3.294(15)$\times10^5$
55.00	 -1.757(7)$\times10^5$	 2.298(8)$\times10^4$	 -1.528(7)$\times10^5$
60.00	 -9.04(4)$\times10^4$	 1.396(4)$\times10^4$	 -7.64(4)$\times10^4$
65.00	 -4.81(2)$\times10^4$	 9.28(3)$\times10^3$	 -3.88(2)$\times10^4$
70.00	 -2.610(14)$\times10^4$	 6.55(2)$\times10^3$	 -1.956(14)$\times10^4$
75.00	 -1.443(9)$\times10^4$	 4.805(15)$\times10^3$	 -9.62(9)$\times10^3$
80.00	 -7.59(6)$\times10^3$	 3.684(12)$\times10^3$	 -3.91(6)$\times10^3$
85.00	 -3.65(4)$\times10^3$	 2937(10)	 -7.1(4)$\times10^2$
90.00	 -1.24(3)$\times10^3$	 2398(8)	 1.15(3)$\times10^3$
95.00	 2.3(2)$\times10^2$	 1997(6)	 2.23(2)$\times10^3$
100.00	 1.068(19)$\times10^3$	 1692(6)	 2.76(2)$\times10^3$
110.00	 1.938(12)$\times10^3$	 1277(5)	 3.215(13)$\times10^3$
120.00	 2194(9)	 999(4)	 3193(10)
130.00	 2218(7)	 814(3)	 3032(7)
140.00	 2124(5)	 688(3)	 2812(6)
150.00	 2021(5)	 590(2)	 2611(5)
160.00	 1903(4)	 513.2(19)	 2416(4)
170.00	 1794(3)	 452.7(17)	 2246(4)
180.00	 1702(3)	 405.9(15)	 2108(3)
190.00	 1614(3)	 366.8(14)	 1981(3)
200.00	 1540(3)	 335.6(13)	 1875(3)
210.00	 1485(2)	 307.4(12)	 1793(3)
220.00	 1426(2)	 285.5(11)	 1711(2)
230.00	 1384(2)	 264.0(10)	 1648(2)
240.00	 1337.5(19)	 248.4(9)	 1586(2)
250.00	 1307.8(18)	 232.0(9)	 1540(2)
260.00	 1277.5(17)	 218.0(8)	 1495.6(19)
270.00	 1248.3(16)	 207.2(8)	 1455.4(18)
280.00	 1231.3(17)	 196.9(8)	 1428.2(19)
290.00	 1213.1(16)	 185.9(7)	 1398.9(17)
300.00	 1198.1(16)	 177.3(7)	 1375.4(17)
310.00	 1181.5(16)	 169.8(7)	 1351.4(17)
320.00	 1170.8(15)	 162.0(6)	 1332.8(16)
330.00	 1158.6(14)	 155.7(6)	 1314.3(16)
340.00	 1151.3(14)	 149.8(6)	 1301.1(15)
350.00	 1140.1(14)	 143.8(5)	 1283.9(15)
360.00	 1134.4(14)	 138.5(5)	 1272.9(15)
370.00	 1128.0(14)	 134.7(5)	 1262.7(15)
380.00	 1122.1(14)	 130.1(5)	 1252.3(15)
390.00	 1114.7(13)	 125.3(5)	 1240.0(14)
400.00	 1109.5(13)	 121.0(5)	 1230.5(14)
410.00	 1104.2(13)	 118.1(4)	 1222.4(14)
420.00	 1103.3(13)	 114.3(4)	 1217.6(14)
430.00	 1097.7(13)	 112.0(4)	 1209.7(13)
440.00	 1096.1(13)	 108.0(4)	 1204.1(13)
450.00	 1092.7(12)	 105.5(4)	 1198.2(13)
460.00	 1089.6(13)	 101.8(4)	 1191.4(13)
470.00	 1087.6(13)	 100.2(4)	 1187.8(13)
480.00	 1085.5(12)	 97.4(4)	 1182.9(13)
490.00	 1082.7(12)	 95.6(4)	 1178.3(13)
500.00	 1081.4(12)	 93.6(4)	 1175.0(13)
520.00	 1077.9(12)	 89.1(3)	 1167.0(13)
540.00	 1070.6(12)	 85.6(3)	 1156.2(13)
560.00	 1067.1(12)	 81.6(3)	 1148.7(12)
580.00	 1065.7(12)	 78.6(3)	 1144.3(13)
600.00	 1061.4(12)	 76.1(3)	 1137.5(12)
620.00	 1062.4(12)	 73.8(3)	 1136.2(13)
640.00	 1054.9(12)	 71.0(3)	 1125.8(12)
660.00	 1052.8(12)	 68.5(2)	 1121.4(12)
680.00	 1048.8(12)	 66.5(2)	 1115.3(12)
700.00	 1045.1(12)	 65.0(2)	 1110.1(12)
720.00	 1043.4(11)	 62.6(2)	 1105.9(11)
740.00	 1040.7(11)	 60.6(2)	 1101.3(12)
760.00	 1037.9(12)	 59.5(2)	 1097.5(12)
780.00	 1032.9(11)	 57.6(2)	 1090.5(12)
800.00	 1032.0(11)	 56.1(2)	 1088.2(12)
820.00	 1031.1(11)	 54.9(2)	 1086.0(11)
840.00	 1025.1(12)	 53.58(19)	 1078.7(12)
860.00	 1022.0(11)	 52.67(19)	 1074.7(11)
880.00	 1019.3(11)	 51.32(18)	 1070.6(11)
900.00	 1015.8(11)	 49.99(17)	 1065.8(11)
920.00	 1014.7(10)	 48.83(17)	 1063.6(11)
940.00	 1010.6(11)	 47.67(16)	 1058.3(12)
960.00	 1005.3(11)	 46.63(15)	 1052.0(11)
980.00	 1002.6(11)	 46.02(16)	 1048.6(11)
1000.00	 999.1(12)	 44.97(16)	 1044.1(12)
1050.00	 991.9(11)	 42.89(15)	 1034.8(11)
1100.00	 984.6(11)	 41.03(13)	 1025.7(11)
1150.00	 977.0(11)	 39.50(13)	 1016.5(11)
1200.00	 967.5(11)	 37.83(12)	 1005.3(11)
1250.00	 962.5(11)	 36.41(12)	 998.9(11)
1300.00	 954.3(11)	 35.23(12)	 989.6(11)
1350.00	 944.5(11)	 34.04(11)	 978.5(11)
1400.00	 939.5(10)	 33.21(11)	 972.7(11)
1450.00	 930.3(10)	 31.86(10)	 962.1(10)
1500.00	 921.6(10)	 30.99(10)	 952.6(10)
1600.00	 908.3(10)	 29.17(9)	 937.5(10)
1700.00	 895.3(10)	 27.63(8)	 923.0(10)
1800.00	 883.1(10)	 26.38(8)	 909.5(10)
1900.00	 868.4(9)	 25.21(7)	 893.6(10)
2000.00	 854.6(9)	 24.00(7)	 878.6(9)
2200.00	 831.0(9)	 22.31(6)	 853.3(9)
2400.00	 809.1(9)	 20.54(6)	 829.6(9)
2600.00	 787.6(9)	 19.28(6)	 806.9(9)
2800.00	 767.2(9)	 18.12(5)	 785.3(9)
3000.00	 748.2(9)	 17.16(5)	 765.4(9)
