temperature	 b3scb8a	 b3scb8na	 b3scb8tot
Temperature(\si{\kelvin})	 B$^\text{A}_3$(\si{cm^6/mol^2})	 B$^\text{NA}_3$(\si{cm^6/mol^2})	 B$^\text{Tot}_3$(\si{cm^6/mol^2})
50.00	 -3.702(15)$\times10^5$	 4.19(4)$\times10^4$	 -3.283(16)$\times10^5$
55.00	 -1.754(8)$\times10^5$	 2.31(2)$\times10^4$	 -1.524(8)$\times10^5$
60.00	 -8.98(4)$\times10^4$	 1.400(13)$\times10^4$	 -7.58(4)$\times10^4$
65.00	 -4.79(2)$\times10^4$	 9.16(9)$\times10^3$	 -3.87(2)$\times10^4$
70.00	 -2.633(14)$\times10^4$	 6.53(6)$\times10^3$	 -1.980(15)$\times10^4$
75.00	 -1.442(9)$\times10^4$	 4.85(5)$\times10^3$	 -9.56(10)$\times10^3$
80.00	 -7.62(6)$\times10^3$	 3.72(4)$\times10^3$	 -3.90(7)$\times10^3$
85.00	 -3.69(4)$\times10^3$	 2.93(3)$\times10^3$	 -7.6(5)$\times10^2$
90.00	 -1.25(3)$\times10^3$	 2.43(3)$\times10^3$	 1.18(4)$\times10^3$
95.00	 1.9(2)$\times10^2$	 1.97(2)$\times10^3$	 2.16(3)$\times10^3$
100.00	 1.062(19)$\times10^3$	 1.679(17)$\times10^3$	 2.74(3)$\times10^3$
110.00	 1.942(12)$\times10^3$	 1.285(13)$\times10^3$	 3.227(18)$\times10^3$
120.00	 2193(9)	 9.90(11)$\times10^2$	 3.183(14)$\times10^3$
130.00	 2219(7)	 827(9)	 3.046(12)$\times10^3$
140.00	 2128(5)	 672(8)	 2800(9)
150.00	 2007(5)	 588(7)	 2594(8)
160.00	 1910(4)	 514(6)	 2424(7)
170.00	 1799(3)	 449(5)	 2248(6)
180.00	 1697(3)	 404(5)	 2101(5)
190.00	 1618(3)	 359(4)	 1977(5)
200.00	 1542(3)	 344(4)	 1886(5)
210.00	 1481(2)	 309(4)	 1791(4)
220.00	 1426(2)	 287(4)	 1713(4)
230.00	 1377(2)	 269(3)	 1646(4)
240.00	 1341.7(19)	 248(3)	 1590(4)
250.00	 1307.8(18)	 233(3)	 1541(3)
260.00	 1278.5(17)	 218(2)	 1497(3)
270.00	 1250.7(16)	 206(2)	 1457(3)
280.00	 1230.4(16)	 198(2)	 1428(3)
290.00	 1214.0(16)	 189(2)	 1403(3)
300.00	 1197.9(15)	 174(2)	 1372(3)
310.00	 1181.3(15)	 169(2)	 1350(3)
320.00	 1170.5(14)	 162.6(19)	 1333(2)
330.00	 1159.3(14)	 156.6(19)	 1316(2)
