temperature	 b3cb8a	 b3cb8na	 b3cb8tot
Temperature(\si{\kelvin})	 B$^\text{A}_3$(\si{cm^6/mol^2})	 B$^\text{NA}_3$(\si{cm^6/mol^2})	 B$^\text{Tot}_3$(\si{cm^6/mol^2})
50.00	 -3.713(16)$\times10^5$	 4.159(12)$\times10^4$	 -3.297(16)$\times10^5$
55.00	 -1.749(7)$\times10^5$	 2.305(7)$\times10^4$	 -1.518(7)$\times10^5$
60.00	 -8.95(4)$\times10^4$	 1.397(4)$\times10^4$	 -7.55(4)$\times10^4$
65.00	 -4.81(2)$\times10^4$	 9.26(3)$\times10^3$	 -3.89(2)$\times10^4$
70.00	 -2.627(14)$\times10^4$	 6.53(2)$\times10^3$	 -1.974(14)$\times10^4$
75.00	 -1.447(9)$\times10^4$	 4.811(15)$\times10^3$	 -9.66(9)$\times10^3$
80.00	 -7.57(6)$\times10^3$	 3.677(12)$\times10^3$	 -3.90(6)$\times10^3$
85.00	 -3.64(4)$\times10^3$	 2913(10)	 -7.3(4)$\times10^2$
90.00	 -1.22(3)$\times10^3$	 2382(8)	 1.16(3)$\times10^3$
95.00	 1.9(2)$\times10^2$	 1978(7)	 2.17(2)$\times10^3$
100.00	 1.122(18)$\times10^3$	 1686(6)	 2.808(19)$\times10^3$
110.00	 1.931(12)$\times10^3$	 1273(5)	 3.205(13)$\times10^3$
120.00	 2203(9)	 998(4)	 3201(10)
130.00	 2211(7)	 817(3)	 3028(8)
140.00	 2130(5)	 685(3)	 2816(6)
150.00	 2022(4)	 587(2)	 2609(5)
160.00	 1898(4)	 511.2(19)	 2410(4)
170.00	 1793(3)	 455.6(18)	 2248(4)
180.00	 1698(3)	 407.1(15)	 2105(3)
190.00	 1615(3)	 368.1(14)	 1983(3)
200.00	 1540(3)	 335.1(13)	 1875(3)
210.00	 1478(2)	 307.6(12)	 1785(3)
220.00	 1425(2)	 284.5(11)	 1710(2)
230.00	 1377(2)	 263.7(10)	 1641(2)
240.00	 1339.0(19)	 245.8(9)	 1585(2)
250.00	 1305.8(18)	 231.2(9)	 1537(2)
260.00	 1277.9(17)	 219.1(8)	 1497.0(19)
270.00	 1250.5(17)	 206.3(8)	 1456.7(19)
280.00	 1230.2(16)	 197.6(8)	 1427.8(18)
290.00	 1211.1(16)	 184.6(7)	 1395.7(18)
300.00	 1198.3(16)	 178.1(7)	 1376.5(17)
310.00	 1182.1(15)	 170.4(7)	 1352.5(17)
320.00	 1170.2(15)	 161.8(7)	 1332.0(16)
330.00	 1159.2(14)	 156.1(6)	 1315.3(15)
340.00	 1149.4(15)	 149.9(6)	 1299.3(16)
350.00	 1142.3(14)	 144.4(6)	 1286.7(15)
360.00	 1134.1(14)	 138.4(5)	 1272.5(15)
370.00	 1124.8(14)	 134.0(5)	 1258.9(15)
380.00	 1121.8(13)	 129.7(5)	 1251.5(14)
390.00	 1115.2(13)	 125.6(5)	 1240.8(14)
400.00	 1110.0(13)	 121.4(5)	 1231.4(14)
410.00	 1105.8(13)	 118.6(5)	 1224.3(13)
420.00	 1101.0(13)	 114.5(4)	 1215.5(13)
430.00	 1098.0(13)	 111.7(4)	 1209.7(14)
440.00	 1095.4(13)	 108.1(4)	 1203.5(13)
450.00	 1091.3(12)	 105.2(4)	 1196.5(13)
460.00	 1088.7(13)	 102.5(4)	 1191.2(14)
470.00	 1088.7(13)	 99.6(4)	 1188.3(14)
480.00	 1086.0(12)	 98.0(4)	 1184.1(13)
490.00	 1082.1(12)	 95.0(4)	 1177.0(13)
500.00	 1081.4(12)	 93.5(4)	 1174.9(13)
520.00	 1076.2(12)	 89.3(3)	 1165.5(12)
540.00	 1071.6(12)	 85.2(3)	 1156.8(13)
560.00	 1069.1(12)	 81.7(3)	 1150.8(12)
580.00	 1065.3(12)	 78.4(3)	 1143.8(12)
600.00	 1062.3(12)	 75.9(3)	 1138.2(12)
620.00	 1059.1(12)	 73.2(3)	 1132.3(12)
640.00	 1055.5(12)	 71.1(3)	 1126.6(12)
660.00	 1053.0(12)	 68.5(3)	 1121.5(12)
680.00	 1050.4(12)	 66.6(2)	 1117.0(12)
700.00	 1044.2(12)	 64.7(2)	 1109.0(12)
720.00	 1044.0(12)	 62.4(2)	 1106.4(12)
740.00	 1042.3(11)	 60.8(2)	 1103.2(11)
760.00	 1036.9(11)	 59.2(2)	 1096.1(11)
780.00	 1034.5(11)	 57.8(2)	 1092.3(11)
800.00	 1032.3(12)	 56.30(19)	 1088.6(12)
820.00	 1026.3(11)	 54.88(19)	 1081.1(11)
840.00	 1026.1(11)	 53.34(19)	 1079.5(11)
860.00	 1023.9(12)	 52.47(19)	 1076.4(12)
880.00	 1018.3(11)	 51.34(18)	 1069.6(11)
900.00	 1015.6(11)	 50.05(17)	 1065.6(11)
920.00	 1013.3(11)	 48.99(17)	 1062.3(12)
940.00	 1010.0(11)	 47.47(16)	 1057.4(11)
960.00	 1007.2(11)	 46.73(16)	 1053.9(11)
980.00	 1003.5(11)	 45.90(16)	 1049.4(11)
1000.00	 1000.0(10)	 45.22(16)	 1045.2(11)
1050.00	 993.3(11)	 43.23(15)	 1036.6(11)
1100.00	 983.2(11)	 41.25(14)	 1024.5(11)
1150.00	 978.1(10)	 39.34(13)	 1017.5(11)
1200.00	 968.4(11)	 37.78(13)	 1006.2(11)
1250.00	 961.3(11)	 36.45(12)	 997.7(11)
1300.00	 954.6(10)	 35.17(11)	 989.7(10)
1350.00	 945.5(10)	 34.07(11)	 979.6(10)
1400.00	 939.0(10)	 32.94(10)	 971.9(10)
