temperature	 b3scb8a	 b3scb8na	 b3scb8tot
Temperature(\si{\kelvin})	 B$^\text{A}_3$(\si{cm^6/mol^2})	 B$^\text{NA}_3$(\si{cm^6/mol^2})	 B$^\text{Tot}_3$(\si{cm^6/mol^2})
50.00	 -3.707(16)$\times10^5$	 4.15(4)$\times10^4$	 -3.293(17)$\times10^5$
55.00	 -1.763(7)$\times10^5$	 2.28(2)$\times10^4$	 -1.535(8)$\times10^5$
60.00	 -9.01(4)$\times10^4$	 1.387(13)$\times10^4$	 -7.63(4)$\times10^4$
65.00	 -4.81(2)$\times10^4$	 9.33(9)$\times10^3$	 -3.88(2)$\times10^4$
70.00	 -2.624(14)$\times10^4$	 6.54(6)$\times10^3$	 -1.970(15)$\times10^4$
75.00	 -1.450(9)$\times10^4$	 4.82(5)$\times10^3$	 -9.68(10)$\times10^3$
80.00	 -7.78(6)$\times10^3$	 3.73(4)$\times10^3$	 -4.05(7)$\times10^3$
85.00	 -3.68(4)$\times10^3$	 2.93(3)$\times10^3$	 -7.6(5)$\times10^2$
90.00	 -1.24(3)$\times10^3$	 2.39(3)$\times10^3$	 1.15(4)$\times10^3$
95.00	 1.9(2)$\times10^2$	 1.97(2)$\times10^3$	 2.16(3)$\times10^3$
100.00	 1.097(18)$\times10^3$	 1.687(17)$\times10^3$	 2.78(3)$\times10^3$
110.00	 1.961(12)$\times10^3$	 1.264(14)$\times10^3$	 3.224(19)$\times10^3$
120.00	 2185(9)	 9.96(11)$\times10^2$	 3.181(14)$\times10^3$
130.00	 2202(7)	 817(9)	 3.019(11)$\times10^3$
140.00	 2127(5)	 680(8)	 2808(9)
150.00	 2017(4)	 584(7)	 2601(8)
160.00	 1907(4)	 506(6)	 2413(7)
170.00	 1799(3)	 450(5)	 2249(6)
180.00	 1699(3)	 410(5)	 2108(6)
190.00	 1619(3)	 360(4)	 1979(5)
200.00	 1541(2)	 336(4)	 1877(5)
210.00	 1480(2)	 307(4)	 1786(4)
220.00	 1425(2)	 284(4)	 1709(4)
230.00	 1378(2)	 265(4)	 1643(4)
240.00	 1339.6(19)	 245(3)	 1584(3)
250.00	 1302.3(18)	 231(3)	 1533(3)
260.00	 1279.2(17)	 221(3)	 1500(3)
270.00	 1250.5(17)	 211(3)	 1461(3)
280.00	 1229.5(17)	 199(2)	 1428(3)
290.00	 1213.4(15)	 186(2)	 1400(3)
300.00	 1197.9(16)	 176(2)	 1374(3)
310.00	 1179.1(15)	 171(2)	 1350(3)
320.00	 1165.7(15)	 157(2)	 1323(2)
330.00	 1157.3(15)	 156.2(19)	 1313(2)
340.00	 1148.1(15)	 153.4(19)	 1301(2)
350.00	 1138.6(15)	 143.9(17)	 1283(2)
360.00	 1134.4(14)	 139.5(17)	 1274(2)
370.00	 1128.6(14)	 138.2(17)	 1267(2)
380.00	 1121.8(13)	 130.2(15)	 1252(2)
390.00	 1115.6(14)	 124.5(15)	 1240(2)
400.00	 1110.6(13)	 119.6(14)	 1230(2)
410.00	 1108.3(13)	 117.5(14)	 1225.8(19)
420.00	 1102.8(13)	 114.3(13)	 1217.1(18)
430.00	 1098.8(12)	 114.0(13)	 1212.8(18)
440.00	 1095.3(12)	 108.4(13)	 1203.7(18)
450.00	 1089.8(13)	 105.7(13)	 1195.5(18)
460.00	 1091.5(13)	 103.3(12)	 1194.8(18)
470.00	 1087.4(12)	 100.4(12)	 1187.8(17)
480.00	 1084.9(13)	 96.2(11)	 1181.1(17)
490.00	 1082.9(12)	 96.1(11)	 1179.0(17)
500.00	 1079.0(13)	 93.7(10)	 1172.7(16)
520.00	 1077.0(12)	 90.3(10)	 1167.3(16)
540.00	 1072.3(12)	 84.4(10)	 1156.8(15)
560.00	 1068.9(12)	 81.9(10)	 1150.9(15)
580.00	 1065.8(12)	 79.1(9)	 1144.9(15)
600.00	 1063.1(12)	 75.9(9)	 1139.0(15)
620.00	 1059.4(12)	 73.1(8)	 1132.5(15)
640.00	 1056.0(12)	 71.1(8)	 1127.1(14)
660.00	 1053.9(11)	 68.4(8)	 1122.3(14)
680.00	 1049.2(12)	 65.5(8)	 1114.6(14)
700.00	 1046.7(12)	 64.7(7)	 1111.4(14)
720.00	 1044.5(11)	 63.6(7)	 1108.0(13)
740.00	 1040.4(12)	 61.8(7)	 1102.2(14)
760.00	 1039.5(12)	 58.6(6)	 1098.1(13)
780.00	 1035.7(11)	 57.1(6)	 1092.8(13)
800.00	 1030.2(12)	 55.1(6)	 1085.3(13)
820.00	 1028.0(11)	 55.1(6)	 1083.1(13)
840.00	 1026.7(11)	 53.7(6)	 1080.3(13)
860.00	 1021.7(11)	 52.7(6)	 1074.4(12)
880.00	 1018.6(11)	 50.7(5)	 1069.3(13)
900.00	 1015.3(11)	 50.5(5)	 1065.8(12)
920.00	 1011.7(11)	 49.1(5)	 1060.9(12)
940.00	 1008.8(11)	 48.9(5)	 1057.7(12)
960.00	 1008.2(11)	 46.6(5)	 1054.8(12)
980.00	 1002.2(11)	 45.6(5)	 1047.7(12)
1000.00	 1000.4(11)	 45.4(5)	 1045.7(12)
1050.00	 991.0(11)	 43.0(5)	 1033.9(12)
1100.00	 984.6(11)	 40.9(4)	 1025.5(12)
1150.00	 976.6(11)	 39.1(4)	 1015.7(11)
1200.00	 970.5(11)	 38.4(4)	 1008.9(11)
1250.00	 961.4(11)	 36.6(4)	 998.0(11)
1300.00	 951.2(10)	 35.3(4)	 986.5(11)
1350.00	 945.4(11)	 34.2(3)	 979.6(11)
1400.00	 936.8(10)	 33.6(3)	 970.4(11)
1450.00	 930.6(10)	 32.1(3)	 962.7(10)
1500.00	 923.6(10)	 31.0(3)	 954.7(11)
1600.00	 909.2(10)	 29.0(3)	 938.3(11)
1700.00	 894.3(10)	 28.0(3)	 922.3(10)
1800.00	 881.9(10)	 26.4(3)	 908.3(10)
1900.00	 867.5(10)	 25.6(3)	 893.1(10)
2000.00	 855.0(10)	 24.3(2)	 879.4(10)
2200.00	 830.4(9)	 21.8(2)	 852.2(9)
2400.00	 807.5(9)	 20.62(19)	 828.1(9)
2600.00	 787.7(9)	 19.17(17)	 806.9(9)
2800.00	 766.6(8)	 18.03(15)	 784.7(8)
3000.00	 749.1(8)	 17.39(15)	 766.5(8)
